"ID","MOTHER","FATHER"
1033,60,24
1034,60,24
1035,60,24
1036,60,24
1037,371,4230
1038,371,4230
1039,371,4230
1040,371,4230
1041,416,4418
1042,416,285
1043,416,4418
1044,601,645
1045,469,115
1046,469,115
1047,469,115
1048,469,115
1049,206,663
1050,206,663
1051,206,663
1052,4273,4153
1053,4273,4153
1054,4273,4153
1055,4273,4153
1056,4273,4153
1057,45,166
1058,45,166
1059,45,166
1060,45,166
1061,45,166
1062,649,626
1063,649,626
1064,649,626
1065,649,626
1068,471,661
1069,471,661
1070,471,661
1072,438,11
1073,32,4229
1074,32,4229
1075,32,4229
1076,32,4229
1077,353,4247
1079,353,4247
1080,353,24
1081,353,4247
1082,419,4503
1083,419,4503
1084,419,4503
1085,419,4503
1086,646,4229
1087,646,4413
1088,646,4413
1089,646,4413
1090,646,4229
1091,4290,4275
1092,4290,4275
1093,4290,4275
1094,4290,4275
1095,4217,4435
1096,4217,4435
1097,4217,4435
1098,4495,397
1101,123,370
