"ID","Female_total_EPO_clutches","BroodName","Cohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age"
471,2,"D077",2004,661,2,1,3,0.333333333333333,1,9,9,7,0.222222222222222,"0",2
471,2,"D154",2004,661,5,0,5,0,0,9,9,7,0.222222222222222,"0",2
471,2,"E024",2005,661,3,0,3,0,0,9,9,7,0.222222222222222,"0",3
471,2,"E092",2005,661,4,0,4,0,0,9,9,7,0.222222222222222,"0",3
471,2,"E183",2005,661,3,0,3,0,0,9,9,7,0.222222222222222,"0",3
512,1,"D061",2004,765,3,1,4,0.25,1,5,5,5,0.2,"0",NA
512,1,"D146",2004,765,4,0,4,0,0,5,5,5,0.2,"0",NA
512,1,"E065",2005,765,3,0,3,0,0,5,5,5,0.2,"0",NA
512,1,"E114",2005,765,4,0,4,0,0,5,5,5,0.2,"0",NA
512,1,"E212",2005,765,3,0,3,0,0,5,5,5,0.2,"0",NA
521,4,"D017",2004,1038,3,1,4,0.25,1,5,5,5,0.8,"0",1
521,4,"D090",2004,1038,3,1,4,0.25,1,5,5,5,0.8,"0",1
521,4,"D189",2004,1038,2,2,4,0.5,1,5,5,5,0.8,"0",1
521,4,"E022",2005,1038,4,0,4,0,0,5,5,5,0.8,"0",2
521,4,"E089",2005,1038,3,2,5,0.4,1,5,5,5,0.8,"0",2
524,1,"D175",2004,110,4,0,4,0,0,5,5,1,0.2,"0",1
524,1,"E032",2005,2018,4,0,4,0,0,5,5,3,0.2,"0",2
524,1,"E099",2005,2018,3,1,4,0.25,1,5,5,3,0.2,"0",2
524,1,"E188",2005,2018,1,0,1,0,0,5,5,3,0.2,"0",2
524,1,"F005",2006,4153,4,0,4,0,0,5,5,1,0.2,"0",3
533,3,"D081",2004,417,3,1,4,0.25,1,5,5,5,0.6,"0",1
533,3,"D155",2004,417,3,1,4,0.25,1,5,5,5,0.6,"0",1
533,3,"E013",2005,417,3,1,4,0.25,1,5,5,5,0.6,"0",2
533,3,"E102",2005,417,5,0,5,0,0,5,5,5,0.6,"0",2
533,3,"E187",2005,417,5,0,5,0,0,5,5,5,0.6,"0",2
540,1,"D044",2004,383,3,1,4,0.25,1,5,5,2,0.2,"0",1
540,1,"D115",2004,383,5,0,5,0,0,5,5,2,0.2,"0",1
540,1,"E045",2005,1053,5,0,5,0,0,5,5,3,0.2,"0",2
540,1,"E147",2005,1053,5,0,5,0,0,5,5,3,0.2,"0",2
540,1,"E225",2005,1053,4,0,4,0,0,5,5,3,0.2,"0",2
542,1,"D105",2004,466,4,0,4,0,0,5,5,1,0.2,"0",1
542,1,"E066",2005,251,3,0,3,0,0,5,5,3,0.2,"0",2
542,1,"E120",2005,251,3,0,3,0,0,5,5,3,0.2,"0",2
542,1,"E211",2005,251,4,0,4,0,0,5,5,3,0.2,"0",2
542,1,"G060",2007,3478,3,2,5,0.4,1,5,5,1,0.2,"0",4
551,0,"D014",2004,251,5,0,5,0,0,2,2,2,0,"0",1
551,0,"D112",2004,251,5,0,5,0,0,2,2,2,0,"0",1
555,0,"D021",2004,370,4,0,4,0,0,1,1,1,0,"0",1
